               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.039415,             0.04797,            0.019859,             0.78097,             0.14193,             0.19369,            0.096175,            0.056881,            0.043928,            0.050299,              0.0067,              0.0067,              0.0067
                 102,            0.038624,            0.042244,            0.019208,             0.73535,             0.17074,             0.20087,             0.10084,            0.054665,            0.044065,            0.049812,            0.006667,            0.006667,            0.006667
                 103,            0.037489,            0.040366,            0.020166,              0.6489,             0.14375,             0.19955,            0.099025,            0.055798,            0.043312,            0.049266,            0.006634,            0.006634,            0.006634
                 104,            0.038372,            0.042796,            0.019986,             0.72169,             0.12319,             0.16959,            0.087428,            0.056097,            0.045019,            0.050247,            0.006601,            0.006601,            0.006601
                 105,             0.03921,            0.042494,            0.018539,             0.56744,             0.18193,             0.18249,             0.10087,            0.054615,            0.045965,            0.050365,            0.006568,            0.006568,            0.006568
                 106,            0.038313,            0.043529,            0.018255,             0.55061,              0.1741,             0.19471,             0.10068,            0.057054,            0.044418,            0.050674,            0.006535,            0.006535,            0.006535
                 107,            0.038234,            0.041309,            0.018103,             0.70175,             0.13993,             0.19582,             0.10633,            0.054529,            0.044212,            0.050633,            0.006502,            0.006502,            0.006502
                 108,            0.038053,            0.040065,             0.01904,             0.72641,             0.13811,             0.18976,            0.096373,            0.055384,            0.044294,            0.050345,            0.006469,            0.006469,            0.006469
                 109,            0.038009,             0.03607,            0.020209,             0.82925,              0.1206,             0.16556,            0.089001,            0.055671,            0.044903,            0.050476,            0.006436,            0.006436,            0.006436
                 110,            0.038807,            0.040913,            0.017566,             0.82278,               0.125,             0.17342,            0.085332,            0.056441,            0.046069,            0.050528,            0.006403,            0.006403,            0.006403
                 111,            0.036862,             0.04031,            0.018912,             0.83437,             0.10462,             0.17384,            0.093085,            0.054538,            0.044949,            0.049961,             0.00637,             0.00637,             0.00637
                 112,            0.036893,            0.040918,             0.01755,             0.81718,             0.11464,             0.17586,            0.088921,            0.055503,            0.044216,            0.049946,            0.006337,            0.006337,            0.006337
                 113,            0.035383,            0.036494,            0.017225,             0.71236,             0.14098,             0.18569,            0.085139,             0.05501,            0.043655,            0.051341,            0.006304,            0.006304,            0.006304
                 114,            0.037371,            0.041957,            0.015761,             0.75939,             0.13769,             0.17463,            0.093634,            0.056487,            0.043449,            0.051488,            0.006271,            0.006271,            0.006271
                 115,            0.038015,            0.039727,            0.017565,             0.56952,             0.16897,             0.19643,             0.10334,            0.054997,            0.043189,            0.052137,            0.006238,            0.006238,            0.006238
                 116,            0.035882,            0.040285,            0.016285,              0.7147,             0.12295,             0.18789,            0.097897,            0.054751,            0.042709,            0.050862,            0.006205,            0.006205,            0.006205
                 117,            0.037271,            0.039334,            0.017432,             0.69133,             0.13628,             0.19776,             0.10198,            0.055767,            0.042597,            0.050474,            0.006172,            0.006172,            0.006172
                 118,            0.036012,            0.040089,            0.017587,             0.63329,             0.15214,              0.1981,            0.095575,            0.055984,            0.044558,            0.051022,            0.006139,            0.006139,            0.006139
                 119,            0.037542,            0.043201,            0.017325,             0.64625,             0.14683,              0.1948,            0.095389,            0.055849,            0.044076,            0.050973,            0.006106,            0.006106,            0.006106
                 120,            0.035025,            0.040836,            0.016232,             0.56873,             0.16585,             0.19799,            0.095996,            0.057926,            0.044423,            0.051334,            0.006073,            0.006073,            0.006073
                 121,            0.037336,            0.038739,            0.016168,             0.74737,              0.1426,             0.19451,            0.090195,            0.055689,            0.044685,            0.050579,             0.00604,             0.00604,             0.00604
                 122,            0.037279,            0.040455,            0.017436,             0.76484,             0.12557,             0.17699,            0.090247,            0.056494,            0.045515,            0.050332,            0.006007,            0.006007,            0.006007
                 123,            0.038683,            0.041404,            0.017191,             0.76004,             0.13412,             0.18748,            0.097275,            0.056073,            0.044704,            0.049539,            0.005974,            0.005974,            0.005974
                 124,            0.037804,            0.041567,             0.01692,             0.81505,             0.12373,             0.17522,            0.090019,            0.056087,            0.045379,            0.049681,            0.005941,            0.005941,            0.005941
                 125,            0.037185,            0.042089,            0.017173,             0.59005,             0.16949,             0.18721,            0.092201,            0.055033,            0.045948,            0.049747,            0.005908,            0.005908,            0.005908
                 126,              0.0357,            0.039022,            0.017888,             0.48312,             0.15293,             0.17778,            0.088892,            0.054715,            0.046076,             0.04985,            0.005875,            0.005875,            0.005875
                 127,            0.033649,            0.037756,            0.018062,             0.79789,             0.11752,             0.16503,            0.076609,            0.056967,            0.046171,            0.050252,            0.005842,            0.005842,            0.005842
                 128,            0.037639,            0.040679,            0.017027,             0.75037,             0.14034,             0.18426,            0.087909,            0.055105,            0.046877,            0.050371,            0.005809,            0.005809,            0.005809
                 129,            0.036597,            0.039525,            0.017362,             0.73997,             0.14215,             0.19408,            0.090117,             0.05626,            0.047155,            0.049673,            0.005776,            0.005776,            0.005776
                 130,            0.036681,            0.041398,            0.016493,              0.7214,              0.1507,             0.19624,            0.080968,            0.055726,            0.046031,            0.049202,            0.005743,            0.005743,            0.005743
                 131,             0.03784,            0.038645,            0.014981,             0.76959,             0.14628,             0.19334,             0.09958,            0.055157,            0.045955,            0.048604,             0.00571,             0.00571,             0.00571
                 132,            0.036536,            0.040087,            0.015042,             0.76105,             0.14872,             0.20244,            0.097019,            0.055628,            0.046166,            0.049232,            0.005677,            0.005677,            0.005677
                 133,            0.036392,            0.041118,            0.014353,             0.74753,             0.15099,             0.20725,             0.10246,            0.056462,            0.046271,            0.049467,            0.005644,            0.005644,            0.005644
                 134,            0.036484,            0.038997,            0.014652,             0.65817,              0.1666,             0.20224,             0.10275,            0.054072,            0.046435,            0.048457,            0.005611,            0.005611,            0.005611
                 135,            0.034223,            0.041347,            0.014999,             0.74059,             0.15616,             0.21621,            0.099901,             0.05396,            0.045495,            0.049317,            0.005578,            0.005578,            0.005578
